tiempo;entry_id;temperatura;Turbidity(NTU);oxigeno;ph;Ammonia(g/ml);Nitrate(g/ml);Population;Fish_Length(cm);Fish_Weight(g)
2021-06-19 00:00:05 CET;1889;24.875;100;4.505;843.365;0.45842;193;50;7.11;2.91
2021-06-19 00:01:02 CET;1890;249.375;100;6.601;843.818;0.45842;194;50;7.11;2.91
2021-06-19 00:01:22 CET;1891;24.875;100;15.797;842.457;0.45842;192;50;7.11;2.91
2021-06-19 00:01:44 CET;1892;249.375;100;5.046;843.365;0.45842;193;50;7.11;2.91
2021-06-19 00:02:07 CET;1893;249.375;100;38.407;840.641;0.45842;192;50;7.11;2.91
2021-06-19 00:02:27 CET;1894;249.375;100;3.862;842.003;0.45842;193;50;7.11;2.91
2021-06-19 00:02:47 CET;1895;24.875;100;2.831;843.818;0.45842;194;50;7.11;2.91
2021-06-19 00:03:07 CET;1896;249.375;100;5.012;842.911;0.45842;193;50;7.11;2.91
2022-06-19 00:03:27 CET;1897;249.375;100;2.916;842.911;0.45842;192;50;7.11;2.91
2022-06-19 00:03:47 CET;1898;24.875;100;17.005;843.365;0.45842;192;50;7.11;2.91
2022-06-19 00:04:31 CET;1900;24.875;100;6.964;848.358;0.45842;191;50;7.11;2.91
2022-06-19 00:05:11 CET;1902;249.375;100;3.465;842.911;0.45842;187;50;7.11;2.91
2022-06-19 00:05:59 CET;1903;249.375;100;4.319;842.911;0.45842;191;50;7.11;2.91
2022-06-19 00:06:18 CET;1904;24.875;100;24.266;843.365;0.45842;190;50;7.11;2.91
2022-06-19 00:06:39 CET;1905;249.375;100;25.204;842.911;0.45842;188;50;7.11;2.91
2022-06-19 00:06:59 CET;1906;24.875;100;22.618;842.911;0.45842;191;50;7.11;2.91
2023-06-19 00:07:19 CET;1907;24.875;100;2.484;842.911;0.45842;191;50;7.11;2.91
2023-06-19 00:07:39 CET;1908;24.875;100;31.898;843.365;0.45842;191;50;7.11;2.91
2023-06-19 00:07:58 CET;1909;24.875;100;23.928;843.365;0.45842;191;50;7.11;2.91
2023-06-19 00:08:18 CET;1910;24.875;100;4.124;844.726;0.45842;192;50;7.11;2.91
2023-06-19 00:08:38 CET;1911;24.875;100;38.652;842.003;0.45842;192;50;7.11;2.91
2023-06-19 00:08:57 CET;1912;24.875;100;3.465;842.003;0.45842;204;50;7.11;2.91
2023-06-19 00:09:17 CET;1913;24.875;100;6.592;843.818;0.45842;192;50;7.11;2.91
2023-06-19 00:09:37 CET;1914;24.875;100;37.925;843.365;0.45842;191;50;7.11;2.91