tiempo,entry_id,temperatura,Turbidity(NTU),oxigeno,ph,Ammonia(g/ml),Nitrate(g/ml),Population,Fish_Length(cm),Fish_Weight(g)
2021-06-19 00:00:05,1889,24.875,100,4.505,8.43365,0.45842,193,50,7.11,2.91
2021-06-19 00:01:02,1890,24.9375,100,6.601,8.43818,0.45842,194,50,7.11,2.91
2021-06-19 00:01:22,1891,24.875,100,15.797,8.42457,0.45842,192,50,7.11,2.91
2021-06-19 00:01:44,1892,24.9375,100,5.046,8.43365,0.45842,193,50,7.11,2.91
2021-06-19 00:02:07,1893,24.9375,100,38.407,8.40641,0.45842,192,50,7.11,2.91
2021-06-19 00:02:27,1894,24.9375,100,3.862,8.42003,0.45842,193,50,7.11,2.91
2021-06-19 00:02:47,1895,24.875,100,2.831,8.43818,0.45842,194,50,7.11,2.91
2021-06-19 00:03:07,1896,24.9375,100,5.012,8.42911,0.45842,193,50,7.11,2.91
2021-06-19 00:03:27,1897,24.9375,100,2.916,8.42911,0.45842,192,50,7.11,2.91
2021-06-19 00:03:47,1898,24.875,100,17.005,8.43365,0.45842,192,50,7.11,2.91
2021-06-19 00:04:31,1900,24.875,100,6.964,8.48358,0.45842,191,50,7.11,2.91
2021-06-19 00:05:11,1902,24.9375,100,3.465,8.42911,0.45842,187,50,7.11,2.91
2021-06-19 00:05:59,1903,24.9375,100,4.319,8.42911,0.45842,191,50,7.11,2.91
2021-06-19 00:06:18,1904,24.875,100,24.266,8.43365,0.45842,190,50,7.11,2.91
2021-06-19 00:06:39,1905,24.9375,100,25.204,8.42911,0.45842,188,50,7.11,2.91
2021-06-19 00:06:59,1906,24.875,100,22.618,8.42911,0.45842,191,50,7.11,2.91
2021-06-19 00:07:19,1907,24.875,100,2.484,8.42911,0.45842,191,50,7.11,2.91
2021-06-19 00:07:39,1908,24.875,100,31.898,8.43365,0.45842,191,50,7.11,2.91
2021-06-19 00:07:58,1909,24.875,100,23.928,8.43365,0.45842,191,50,7.11,2.91